imprint_id,imprint_name
789,Knopf Doubleday Publishing
790,Henry Holt & Company
791,Random House/Disney Publishing Worldwide
792,American Girl Publishing
793,Perseus
794,University of Michigan Press
795,South Dakota State Historical Society Press
796,"Steidl Druckerei und Verlag, Gerhard"
797,Applewood Books
798,Welby Street Press
799,Sterling Publishing
800,Laurence King Publishing
801,DOUBLEDAY
802,Riverhead/Penguin
803,B&H Books
804,Moody
805,Thomas Nelson I
806,Chosen Books
807,Fantagraphics Books
808,Dial Books
809,Crime Rant Books
810,McSweeney's
811,Crux
812,Dave Burgess Consulting
813,Bethany House
814,Tarcher
815,Little Brown & Company
816,Broadstreet
817,Museyon
818,Eve Langlais
819,L.A. Casey
820,Julie Cross
821,Amulet Books
822,Marvel Enterprises
823,Bloomsbury Publishing
824,Yale University Press
825,Riverhead Books/Penguin Group
826,Gotham/Penguin
827,"New Word City, Inc."
828,Prufrock Press
829,Select Books
830,Crux Publishing
831,Boston Common Press
832,DK Pubishing
833,Perigree
834,Smithsonian
835,One World/Ballantine
836,WaterBrook Press/ Doubleday Religious Publishing
837,David C. Cook
838,Free Press/Simon & Schuster
839,Rerum Industries
840,ERH Press
841,Archipelago
842,Rerum Publishing
843,Crista McHugh
844,Deborah Bladon
845,Belmont Estate
846,Oni Press
847,Park & Stowell
848,Palgrave Macmillan
849,HarperWave/HarperCollins
850,Threshold  Editions
851,Harvest House
852,Thunder Bay
853,Dundee-Lakemont Press
854,Pan Macmillan
855,McGraw-Hill Education
856,Cameron & Company
857,University of Iowa Press
858,University of North Carolina Press
859,Liliana Hart
860,J. Sterling
861,Kathleen Brooks
862,S. E. Smith
863,Abrams ComicArts
864,"St. Martin''s Griffin, hardcover and paper"
865,NAL/Penguin Publishing Group
866,Public Affairs
867,Simon & Schuster/TED
868,37 Ink/Atria Books
869,Chronicle Books LLC
870,Rizzoli International
871,University of New Mexico Press
872,Belfry Press
873,Vanderbilt University Press
874,HarperCollins/William Morrow
875,Plume/Penguin
876,"Grove/Atlantic, Inc."
877,Perigree/Penguin
878,JMC Creations
879,"Grove/Atlantic, Incorporated"
880,Lyons/Globe Pequot
881,TVGuestpert
882,Putnam Adult
883,Genesis Publications
884,Taschen
885,University of Nebraska Press
886,Red Crane Books
887,Alma Books
888,Thunder Bay Press
889,Berkley/Putnam
890,Fireside/Simon & Schuster
891,J.S. Cooper
892,South Dakota State Historical Society
893,CreateSpace Independent Publishing Platform
894,Avon/Harper Collins
895,J.â€‰S. Cooper
896,Skyhorse Publishing
897,Candlewick Press
898,Dutton/Penguin
899,Time Home Entertainment
900,John Wiley & Sons
901,Trinity University
902,Growing Healthy Homes
903,Wentz
904,Wisconsin Historical Society
905,Skyhorse/Arcade
906,Bunker Hill
907,Twodot
908,Nan A. Talese/Knopf
909,@throat_punch books
910,HarperDesign/HarperCollins
911,Gray and Company
912,The Mal and Charlotte Moore Crimson Heart Foundation
913,Ant Press
914,Kite Press
915,Victoria Twead
916,Rerum
917,Michael Harris
918,Delacorte Press
919,Crime Rant
920,Dorling Kindersley
921,Harry N. Abrams
922,Phaidon Press
923,Kingswell
924,Harper Collins
925,"Simon & Schuster, Limited"
926,Castle Books
927,Strebor Books
928,Oxford University Press
929,Sports Illustrated Books
930,BradyGames with DK
931,Lonely Planet Publications
932,"Rizzoli International Publications,"
933,Travelers' Tales/Solas House
934,Ampersand
935,Crown Publishing
936,Harlequin MIRA
937,Loveswept
938,Forever Yours
939,Roses & Thorns Publishing
940,Lyons
941,Phaidon
942,Andrews McMeel Publishing
943,Thorndike
944,Titan Books
945,Harvard University Press
946,University Press of Mississippi
947,Thomas Dunne/St. Martin's Press
948,Imagine Publishing
949,Assouline
950,Collins
951,McGraw-Hill
952,B&H Publishing
953,Blue Rider Press/Penguin
954,Encounter Books
955,Portfolio/ Penguin
956,Victory Belt Publishing
957,Hudson Street Press/Penguin
958,Harlequin HQN
959,David R. Godine
960,Salinas Press
961,Russell Media
962,Fever Streak Press
963,W. W. Norton
964,North Atlantic Books
965,Nautilus
966,Highpoint Executive Publishing
967,Clarkson Potter/ Crown
968,First Second Books
969,Charlotte Smith
970,Globe Pequot
971,Regnery History
972,Archetype
973,The History Press
974,Viking Adult
975,Seal Press
976,Berkley Trade
977,Dey St./HarperCollins
978,Riverhead Hardcover
979,City Creek Press
980,Convergent Books/Random House
981,"Back Bay/ Little, Brown"
982,Velo Press
983,Kodansha America
984,Algonquin Books
985,Deeds Publishing
986,Amber Books
987,Diversion Books
988,Piers Platt
989,Perfect Square
990,Berkley/Penguin
991,Pocket/Simon & Schuster
992,Oxford University
993,Lyons Press/Globe Pequot
994,Riverhead Publishing
995,North Country Books
996,Chicago Review Press
997,Ying Ma
998,SaltRiver/Tyndale House
999,Business Plus
1000,Ballantine Books
1001,Adiva
1002,Da Capo Lifelong Books
1003,Atria/Emily Bestler Books
1004,Villard
1005,Destiny Image
1006,Titan Books Limited
1007,Schwartz & Wade
1008,Zinc Ink/Ballantine Books
1009,Hyperion/Kingswell
1010,NA/Penguin
1011,Lulu Publishing Services
1012,Schaffner Press
1013,Sarah Burleton
1014,Penguin Books
1015,Debbie Macomber
1016,Bolero
1017,Jo Raven
1018,Oceanview
1019,Schaffner
1020,Legendary
1021,"Little, Brown and Company"
1022,Lampo Press
1023,Clarkson Potter/Crown
1024,Dorling Kindersley/Brady Games
1025,Jasinda Wilder
1026,Smashwords
1027,Stacy Borel
1028,Red Adept Publishing
1029,H.M. Ward Press
1030,Post Hill/MTV
1031,Red Adept
1032,H.M. Ward
1033,S.L. Scott
1034,Bonnie Vanak
1035,Post Hill Press
1036,Beach Lane/Simon & Schuster
1037,University of Chicago Press
1038,BenBella Books
1039,Penguin/Celebra
1040,Berkley Sensation
1041,Kelly Elliott
1042,Bayou Moon Press
1043,Bayou Moon
1044,Knopf Doubleday
1045,Brazen/Entangled
1046,New Leaf Press
1047,Dream of Things
1048,Knopf/Vintage
1049,Patagonia Books
1050,Random House of Canada
1051,Open Road Publishing
1052,It/HarperCollins
1053,Whitecaps Media
1054,Debbie Macomber Books
1055,HarperVoyager
1056,H. M. Ward Press
1057,Raine Miller
1058,Gossamer Publishing
1059,Times Books
1060,Loveswept/Random House
1061,Riding Desire Group
1062,Papercutz
1063,Arsenal Pulp Press
1064,Times Books/Henry Holt
1065,Dog Ear Publishing
1066,New Directions
1067,Berkley Prime Crime
1068,St. Martin’s Press
1069,Haleigh Lovell
1070,Mariana Zapata
1071,WND Books
1072,Reader's Digest
1073,Roaring Brook Press
1074,Little Brown and Company
1075,Hearst Communications
1076,"Mullholland Books/Little, Brown"
1077,Tor Fantasy/Tom Doherty
1078,Miramax Books
1079,Knopf.
1080,Sandi Lynn
1081,Samantha Towle
1082,Pinnacle/Kensington
1083,Bantam Dell
1084,Berkley Books
1085,Zirconia
1086,Mike O'Mary
1087,"Hearst Communications, Inc."
1088,Pocket Books/Star Trek
1089,Redd Group
1090,Sam Neumann
1091,Morgan Rice
1092,Missionday
1093,Avery/Penguin
1094,The Electronic Book Company
1095,Kevin Machell
1096,Black Irish Entertainment
1097,Cartoon Books
1098,Philomel/Speak
1099,Gallup
1100,Rachel Van Dyken
1101,Indie Six
1102,"Reagan Arthur/Little, Brown"
1103,Mariner/Houghton Mifflin
1104,Soho Press
1105,Cassia Leo
1106,Evolve
1107,Legendary/Marvel Entertainment
1108,Random House Children's Books
1109,Dial/Random House
1110,Bard
1111,Greenleaf Book Group
1112,James H. Silberman/Viking
1113,"Mulholland Books/Little, Brown"
1114,Birch Paper Press
1115,37 Ink
1116,Gail McHugh
1117,Carter Publishing House
1118,AuthorHouse
1119,Archaia Entertainment
1120,Balzer & Bray/HarperCollins
1121,J.C. Reed
1122,Lexi Ryan
1123,Golden Unicorn
1124,Barbour
1125,Barbara Freethy
1126,Neal Porter/Roaring Brook
1127,Georgia Cates
1128,Amy Harmon
1129,Omnific
1130,Tantor
1131,Vintage Contemporaries
1132,Owl/Holt
1133,Ingrid Ricks
